"","ID","Y_chan","date","date_chan","channel","ExpDay","TempF","TempC","nitrogen_ugL","phosphorus_ugL","afdm_g_m2","TempK","Y","afdm_g_m2.la"
"76","2015_b_10_b_17","2015_b_10",2015-06-20,"2015-06-20_b_10","10",17,"E",24.7865,50,0,NA,297.7865,"2015",5.37150183150183
"77","2015_b_10_b_18","2015_b_10",2015-06-21,"2015-06-21_b_10","10",18,"E",26.781,50,0,5.02153846153846,299.781,"2015",5.02153846153846
"78","2015_b_10_b_19","2015_b_10",2015-06-22,"2015-06-22_b_10","10",19,"E",27.567,50,0,NA,300.567,"2015",6.40531942633637
"79","2015_b_10_b_20","2015_b_10",2015-06-23,"2015-06-23_b_10","10",20,"E",27.7145,50,0,NA,300.7145,"2015",7.78910039113429
"80","2015_b_10_b_21","2015_b_10",2015-06-24,"2015-06-24_b_10","10",21,"E",27.567,50,0,9.1728813559322,300.567,"2015",9.1728813559322
"81","2015_b_10_b_22","2015_b_10",2015-06-25,"2015-06-25_b_10","10",22,"E",26.0485,50,0,NA,299.0485,"2015",8.61694915254237
"82","2015_b_10_b_23","2015_b_10",2015-06-26,"2015-06-26_b_10","10",23,"E",24.641,50,0,NA,297.641,"2015",8.06101694915254
"83","2015_b_10_b_24","2015_b_10",2015-06-27,"2015-06-27_b_10","10",24,"E",24.3995,50,0,7.50508474576271,297.3995,"2015",7.50508474576271
"84","2015_b_10_b_25","2015_b_10",2015-06-28,"2015-06-28_b_10","10",25,"E",24.351,50,0,NA,297.351,"2015",9.40151848547924
"85","2015_b_10_b_26","2015_b_10",2015-06-29,"2015-06-29_b_10","10",26,"E",25.222,50,0,NA,298.222,"2015",11.2979522251958
"86","2015_b_10_b_27","2015_b_10",2015-06-30,"2015-06-30_b_10","10",27,"E",24.738,50,0,13.1943859649123,297.738,"2015",13.1943859649123
"87","2015_b_10_b_28","2015_b_10",2015-07-01,"2015-07-01_b_10","10",28,"E",23.1,50,0,NA,296.1,"2015",13.1062979482605
"88","2015_b_10_b_29","2015_b_10",2015-07-02,"2015-07-02_b_10","10",29,"E",23.196,50,0,NA,296.196,"2015",13.0182099316087
"89","2015_b_10_b_30","2015_b_10",2015-07-03,"2015-07-03_b_10","10",30,"E",25.0765,50,0,NA,298.0765,"2015",12.9301219149569
"90","2015_b_10_b_31","2015_b_10",2015-07-04,"2015-07-04_b_10","10",31,"E",25.0765,50,0,12.8420338983051,298.0765,"2015",12.8420338983051
"91","2015_b_10_b_32","2015_b_10",2015-07-05,"2015-07-05_b_10","10",32,"E",23.773,50,0,NA,296.773,"2015",22.5220338983051
"92","2015_b_10_b_33","2015_b_10",2015-07-06,"2015-07-06_b_10","10",33,"E",24.931,50,0,NA,297.931,"2015",32.2020338983051
"93","2015_b_10_b_34","2015_b_10",2015-07-07,"2015-07-07_b_10","10",34,"E",25.951,50,0,41.8820338983051,298.951,"2015",41.8820338983051
"94","2015_b_10_b_35","2015_b_10",2015-07-08,"2015-07-08_b_10","10",35,"E",25.5615,50,0,NA,298.5615,"2015",35.4415254237288
"95","2015_b_10_b_36","2015_b_10",2015-07-09,"2015-07-09_b_10","10",36,"E",25.708,50,0,NA,298.708,"2015",29.0010169491526
"96","2015_b_10_b_37","2015_b_10",2015-07-10,"2015-07-10_b_10","10",37,"E",25.513,50,0,NA,298.513,"2015",22.5605084745763
"97","2015_b_10_b_38","2015_b_10",2015-07-11,"2015-07-11_b_10","10",38,"E",25.319,50,0,16.12,298.319,"2015",16.12
"98","2015_b_10_b_39","2015_b_10",2015-07-12,"2015-07-12_b_10","10",39,"E",25.902,50,0,22.7551020408163,298.902,"2015",22.7551020408163
"99","2015_b_10_b_40","2015_b_10",2015-07-13,"2015-07-13_b_10","10",40,"E",25.513,50,0,43.0876923076923,298.513,"2015",43.0876923076923
"100","2015_b_10_b_41","2015_b_10",2015-07-14,"2015-07-14_b_10","10",41,"E",24.545,50,0,52.8,297.545,"2015",52.8
"101","2015_b_10_b_42","2015_b_10",2015-07-15,"2015-07-15_b_10","10",42,"E",25.805,50,0,NA,298.805,"2015",46.972
"102","2015_b_10_b_43","2015_b_10",2015-07-16,"2015-07-16_b_10","10",43,"E",25.4645,50,0,41.144,298.4645,"2015",41.144
"103","2015_b_10_b_44","2015_b_10",2015-07-17,"2015-07-17_b_10","10",44,"E",26.5365,50,0,NA,299.5365,"2015",46.7725913043478
"104","2015_b_10_b_45","2015_b_10",2015-07-18,"2015-07-18_b_10","10",45,"E",25.902,50,0,NA,298.902,"2015",52.4011826086956
"105","2015_b_10_b_46","2015_b_10",2015-07-19,"2015-07-19_b_10","10",46,"E",23.388,50,0,NA,296.388,"2015",58.0297739130435
"106","2015_b_10_b_47","2015_b_10",2015-07-20,"2015-07-20_b_10","10",47,"E",24.593,50,0,NA,297.593,"2015",63.6583652173913
"107","2015_b_10_b_48","2015_b_10",2015-07-21,"2015-07-21_b_10","10",48,"E",23.966,50,0,69.2869565217391,296.966,"2015",69.2869565217391
"108","2015_b_10_b_49","2015_b_10",2015-07-22,"2015-07-22_b_10","10",49,"E",26.928,50,0,NA,299.928,"2015",68.5363514119229
"109","2015_b_10_b_50","2015_b_10",2015-07-23,"2015-07-23_b_10","10",50,"E",25.902,50,0,NA,298.902,"2015",67.7857463021066
"110","2015_b_10_b_51","2015_b_10",2015-07-24,"2015-07-24_b_10","10",51,"E",24.448,50,0,NA,297.448,"2015",67.0351411922904
"111","2015_b_10_b_52","2015_b_10",2015-07-25,"2015-07-25_b_10","10",52,"E",23.773,50,0,66.2845360824742,296.773,"2015",66.2845360824742
"112","2015_b_10_b_53","2015_b_10",2015-07-26,"2015-07-26_b_10","10",53,"E",23.388,50,0,61.4912108461898,296.388,"2015",61.4912108461898
"113","2015_b_10_b_54","2015_b_10",2015-07-27,"2015-07-27_b_10","10",54,"E",23.9175,50,0,NA,296.9175,"2015",66.3522409225495
"114","2015_b_10_b_55","2015_b_10",2015-07-28,"2015-07-28_b_10","10",55,"E",24.11,50,0,NA,297.11,"2015",71.2132709989092
"115","2015_b_10_b_56","2015_b_10",2015-07-29,"2015-07-29_b_10","10",56,"E",24.062,50,0,NA,297.062,"2015",76.0743010752688
"116","2015_b_10_b_57","2015_b_10",2015-07-30,"2015-07-30_b_10","10",57,"E",23.869,50,0,NA,296.869,"2015",80.9353311516285
"117","2015_b_10_b_58","2015_b_10",2015-07-31,"2015-07-31_b_10","10",58,"E",23.484,50,0,NA,296.484,"2015",85.7963612279881
"118","2015_b_10_b_59","2015_b_10",2015-08-01,"2015-08-01_b_10","10",59,"E",23.5325,50,0,90.6573913043478,296.5325,"2015",90.6573913043478
"119","2015_b_11_b_1","2015_b_11",2015-06-04,"2015-06-04_b_11","11",1,"B",11.139,200,0,1e-05,284.139,"2015",1e-05
"120","2015_b_11_b_2","2015_b_11",2015-06-05,"2015-06-05_b_11","11",2,"B",11.139,200,0,NA,284.139,"2015",0.550856207627119
"121","2015_b_11_b_3","2015_b_11",2015-06-06,"2015-06-06_b_11","11",3,"B",9.965,200,0,NA,282.965,"2015",1.10170241525424
"122","2015_b_11_b_4","2015_b_11",2015-06-07,"2015-06-07_b_11","11",4,"B",9.669,200,0,NA,282.669,"2015",1.65254862288136
"123","2015_b_11_b_5","2015_b_11",2015-06-08,"2015-06-08_b_11","11",5,"B",8.879,200,0,NA,281.879,"2015",2.20339483050848
"124","2015_b_11_b_6","2015_b_11",2015-06-09,"2015-06-09_b_11","11",6,"B",8.082,200,0,NA,281.082,"2015",2.75424103813559
"125","2015_b_11_b_7","2015_b_11",2015-06-10,"2015-06-10_b_11","11",7,"B",9.275,200,0,NA,282.275,"2015",3.30508724576271
"126","2015_b_11_b_8","2015_b_11",2015-06-11,"2015-06-11_b_11","11",8,"B",10.259,200,0,NA,283.259,"2015",3.85593345338983
"127","2015_b_11_b_9","2015_b_11",2015-06-12,"2015-06-12_b_11","11",9,"B",9.965,200,0,4.40677966101695,282.965,"2015",4.40677966101695
"128","2015_b_11_b_10","2015_b_11",2015-06-13,"2015-06-13_b_11","11",10,"B",10.455,200,0,NA,283.455,"2015",4.93785310734463
"129","2015_b_11_b_11","2015_b_11",2015-06-14,"2015-06-14_b_11","11",11,"B",11.041,200,0,NA,284.041,"2015",5.46892655367232
"130","2015_b_11_b_12","2015_b_11",2015-06-15,"2015-06-15_b_11","11",12,"B",11.285,200,0,6,284.285,"2015",6
"131","2015_b_11_b_13","2015_b_11",2015-06-16,"2015-06-16_b_11","11",13,"B",11.431,200,0,NA,284.431,"2015",12.8050314465409
"132","2015_b_11_b_14","2015_b_11",2015-06-17,"2015-06-17_b_11","11",14,"B",10.553,200,0,NA,283.553,"2015",19.6100628930817
"133","2015_b_11_b_15","2015_b_11",2015-06-18,"2015-06-18_b_11","11",15,"B",10.259,200,0,26.4150943396226,283.259,"2015",26.4150943396226
"134","2015_b_11_b_16","2015_b_11",2015-06-19,"2015-06-19_b_11","11",16,"B",10.797,200,0,NA,283.797,"2015",41.9092498849516
"135","2015_b_11_b_17","2015_b_11",2015-06-20,"2015-06-20_b_11","11",17,"B",12.11,200,0,NA,285.11,"2015",57.4034054302807
"136","2015_b_11_b_18","2015_b_11",2015-06-21,"2015-06-21_b_11","11",18,"B",13.846,200,0,72.8975609756097,286.846,"2015",72.8975609756097
"137","2015_b_11_b_19","2015_b_11",2015-06-22,"2015-06-22_b_11","11",19,"B",15.0435,200,0,NA,288.0435,"2015",71.5027807634008
"138","2015_b_11_b_20","2015_b_11",2015-06-23,"2015-06-23_b_11","11",20,"B",14.996,200,0,NA,287.996,"2015",70.108000551192
"139","2015_b_11_b_21","2015_b_11",2015-06-24,"2015-06-24_b_11","11",21,"B",13.798,200,0,68.7132203389831,286.798,"2015",68.7132203389831
"140","2015_b_11_b_22","2015_b_11",2015-06-25,"2015-06-25_b_11","11",22,"B",10.895,200,0,NA,283.895,"2015",49.7573035878121
"141","2015_b_11_b_23","2015_b_11",2015-06-26,"2015-06-26_b_11","11",23,"B",10.504,200,0,NA,283.504,"2015",30.8013868366411
"142","2015_b_11_b_24","2015_b_11",2015-06-27,"2015-06-27_b_11","11",24,"B",11.1385,200,0,11.8454700854701,284.1385,"2015",11.8454700854701
"143","2015_b_11_b_25","2015_b_11",2015-06-28,"2015-06-28_b_11","11",25,"B",11.09,200,0,NA,284.09,"2015",10.8444444444445
"144","2015_b_11_b_26","2015_b_11",2015-06-29,"2015-06-29_b_11","11",26,"B",12.835,200,0,NA,285.835,"2015",9.84341880341881
"145","2015_b_11_b_27","2015_b_11",2015-06-30,"2015-06-30_b_11","11",27,"B",12.98,200,0,8.84239316239316,285.98,"2015",8.84239316239316
"146","2015_b_11_b_28","2015_b_11",2015-07-01,"2015-07-01_b_11","11",28,"B",12.013,200,0,NA,285.013,"2015",11.7168368886016
"147","2015_b_11_b_29","2015_b_11",2015-07-02,"2015-07-02_b_11","11",29,"B",12.3525,200,0,NA,285.3525,"2015",14.59128061481
"148","2015_b_11_b_30","2015_b_11",2015-07-03,"2015-07-03_b_11","11",30,"B",13.894,200,0,NA,286.894,"2015",17.4657243410185
"149","2015_b_11_b_31","2015_b_11",2015-07-04,"2015-07-04_b_11","11",31,"B",14.038,200,0,20.3401680672269,287.038,"2015",20.3401680672269
"150","2015_b_11_b_32","2015_b_11",2015-07-05,"2015-07-05_b_11","11",32,"B",12.98,200,0,NA,285.98,"2015",21.562847087553
"151","2015_b_11_b_33","2015_b_11",2015-07-06,"2015-07-06_b_11","11",33,"B",13.413,200,0,NA,286.413,"2015",22.785526107879
"152","2015_b_11_b_34","2015_b_11",2015-07-07,"2015-07-07_b_11","11",34,"B",13.894,200,0,24.0082051282051,286.894,"2015",24.0082051282051
"153","2015_b_11_b_35","2015_b_11",2015-07-08,"2015-07-08_b_11","11",35,"B",13.365,200,0,NA,286.365,"2015",27.8865641025641
"154","2015_b_11_b_36","2015_b_11",2015-07-09,"2015-07-09_b_11","11",36,"B",12.883,200,0,NA,285.883,"2015",31.7649230769231
"155","2015_b_11_b_37","2015_b_11",2015-07-10,"2015-07-10_b_11","11",37,"B",12.449,200,0,NA,285.449,"2015",35.643282051282
"156","2015_b_11_b_38","2015_b_11",2015-07-11,"2015-07-11_b_11","11",38,"B",11.9645,200,0,NA,284.9645,"2015",39.521641025641
"157","2015_b_11_b_39","2015_b_11",2015-07-12,"2015-07-12_b_11","11",39,"B",12.7865,200,0,43.4,285.7865,"2015",43.4
"158","2015_b_11_b_40","2015_b_11",2015-07-13,"2015-07-13_b_11","11",40,"B",12.304,200,0,38.0033333333334,285.304,"2015",38.0033333333334
"159","2015_b_11_b_41","2015_b_11",2015-07-14,"2015-07-14_b_11","11",41,"B",11.722,200,0,33.6,284.722,"2015",33.6
"160","2015_b_11_b_42","2015_b_11",2015-07-15,"2015-07-15_b_11","11",42,"B",13.028,200,0,NA,286.028,"2015",42.7
"161","2015_b_11_b_43","2015_b_11",2015-07-16,"2015-07-16_b_11","11",43,"B",12.7385,200,0,51.8,285.7385,"2015",51.8
"162","2015_b_11_b_44","2015_b_11",2015-07-17,"2015-07-17_b_11","11",44,"B",13.365,200,0,NA,286.365,"2015",42.3415652173913
"163","2015_b_11_b_45","2015_b_11",2015-07-18,"2015-07-18_b_11","11",45,"B",12.9795,200,0,NA,285.9795,"2015",32.8831304347826
"164","2015_b_11_b_46","2015_b_11",2015-07-19,"2015-07-19_b_11","11",46,"B",10.6995,200,0,NA,283.6995,"2015",23.4246956521739
"165","2015_b_11_b_47","2015_b_11",2015-07-20,"2015-07-20_b_11","11",47,"B",11.285,200,0,NA,284.285,"2015",13.9662608695652
"166","2015_b_11_b_48","2015_b_11",2015-07-21,"2015-07-21_b_11","11",48,"B",11.5765,200,0,4.50782608695652,284.5765,"2015",4.50782608695652
"167","2015_b_11_b_49","2015_b_11",2015-07-22,"2015-07-22_b_11","11",49,"B",12.642,200,0,NA,285.642,"2015",6.57056028686686
"168","2015_b_11_b_50","2015_b_11",2015-07-23,"2015-07-23_b_11","11",50,"B",12.9315,200,0,NA,285.9315,"2015",8.63329448677721
"169","2015_b_11_b_51","2015_b_11",2015-07-24,"2015-07-24_b_11","11",51,"B",12.497,200,0,NA,285.497,"2015",10.6960286866876
"170","2015_b_11_b_52","2015_b_11",2015-07-25,"2015-07-25_b_11","11",52,"B",12.2555,200,0,12.7587628865979,285.2555,"2015",12.7587628865979
"171","2015_b_11_b_53","2015_b_11",2015-07-26,"2015-07-26_b_11","11",53,"B",12.2555,200,0,4.19579710144926,285.2555,"2015",4.19579710144926
"172","2015_b_11_b_54","2015_b_11",2015-07-27,"2015-07-27_b_11","11",54,"B",12.69,200,0,NA,285.69,"2015",6.39041062801932
"173","2015_b_11_b_55","2015_b_11",2015-07-28,"2015-07-28_b_11","11",55,"B",12.594,200,0,NA,285.594,"2015",8.58502415458937
"174","2015_b_11_b_56","2015_b_11",2015-07-29,"2015-07-29_b_11","11",56,"B",12.69,200,0,NA,285.69,"2015",10.7796376811594
"175","2015_b_11_b_57","2015_b_11",2015-07-30,"2015-07-30_b_11","11",57,"B",12.207,200,0,NA,285.207,"2015",12.9742512077295
"176","2015_b_11_b_58","2015_b_11",2015-07-31,"2015-07-31_b_11","11",58,"B",11.1875,200,0,NA,284.1875,"2015",15.1688647342995
"177","2015_b_11_b_59","2015_b_11",2015-08-01,"2015-08-01_b_11","11",59,"B",11.3825,200,0,17.3634782608696,284.3825,"2015",17.3634782608696
"178","2015_b_12_b_1","2015_b_12",2015-06-04,"2015-06-04_b_12","12",1,"C",14.9,100,0,1e-05,287.9,"2015",1e-05
"179","2015_b_12_b_2","2015_b_12",2015-06-05,"2015-06-05_b_12","12",2,"C",14.9,100,0,NA,287.9,"2015",0.564524879032257
"180","2015_b_12_b_3","2015_b_12",2015-06-06,"2015-06-06_b_12","12",3,"C",13.75,100,0,NA,286.75,"2015",1.12903975806452
"181","2015_b_12_b_4","2015_b_12",2015-06-07,"2015-06-07_b_12","12",4,"C",12.013,100,0,NA,285.013,"2015",1.69355463709677
"182","2015_b_12_b_5","2015_b_12",2015-06-08,"2015-06-08_b_12","12",5,"C",10.455,100,0,NA,283.455,"2015",2.25806951612903
"183","2015_b_12_b_6","2015_b_12",2015-06-09,"2015-06-09_b_12","12",6,"C",10.161,100,0,NA,283.161,"2015",2.82258439516129
