Code,Iceland,year,Date,Identifier,TempC,TempC_Avg,Nfixed_mgN_h_/m2),Nfixed_ugNhmgAFDM,Nfixed_ugNhmgAFDMbn2fix,Total SampleAFDMg,AFDMmgcm2,Nutrient Manip,Channel,Channel Time,Ch#,Temp Code,Nut Conc,Biovolume unitCm2,Ratio Biovolume unitsCm2 per AFDMcm2,Nfix_gAFDM_m2
B200,Iceland,2015,,2015B200,13.8,13.75714286,0.016278607,0.016269141,7.369920678,0.015333333,0.016269141,N,CH11_B200,2,11,B,200,15840259.9,973638393.9,6.4
C100,Iceland,2015,,2015C100,28.6,20.45,0.07076554,0.003952668,0.133073152,0.066827957,0.003952668,N,CH12_C100,2,12,C,100,5446100.4,1377828981,28.96535245
E100,Iceland,2015,,2015E100,11.2,18.85,0.109009299,0.003436764,3.612039037,0.102108247,0.003436764,N,CH13_E100,2,13,E,100,32616336.5,9490420586,47.87823597
C200,Iceland,2015,,2015C200,17.7,20.25,0.014774714,0.015708292,#DIV/0!,0.015710345,0.015708292,N,CH25_C200,2,14,C,200,358939.9,22850344.1,5.364444444
A25,Iceland,2015,,2015A25,11.2,13.58333333,0.036516658,0.005462104,0.163863113,0.033649485,0.005462104,N,CH15_A25,2,15,A,25,1250005,228850474.2,7.284879725
E25,Iceland,2015,,2015E25,10.8,18.85,2.509326999,0.073734487,0.920144955,0.080765957,0.073734487,N,CH16_E25,2,16,E,25,4550661.2,61716862.8,31.84042553
B50,Iceland,2015,,2015B50,13.8,13.75714286,0.110691424,0.088682122,#DIV/0!,0.005321918,0.088682122,N,CH17_B50,2,17,B,50,41691.3,470121.2,1.645319635
B25,Iceland,2015,,2015B25,13.8,13.75714286,1.202877121,0.09068491,0.096406355,0.033,0.09068491,N,CH18_B25,2,18,B,25,5451492.6,60114660.3,11.69666667
D50,Iceland,2015,,2015D50,21.7,21.43333333,0.179623164,0.00457863,0.261789885,0.139336842,0.00457863,N,CH19_D50,2,19,D,50,10230052.8,2234304485,36.0524269
C0,Iceland,2015,,2015C0,17.7,20.25,1.201704035,0.266694091,0.554723709,0.011213333,0.266694091,N,CH20_C0,2,20,C,0,2471.8,9268.2,2.367259259
E200,Iceland,2015,,2015E200,25.6,18.85,0.076675844,0.001345777,#DIV/0!,0.209444444,0.001345777,N,CH21_E200,2,21,E,200,20189611.1,15002198867,79.06527778
A150,Iceland,2015,,2015A150,25.5,13.58333333,0.040968866,0.008511815,#DIV/0!,0.022949495,0.008511815,N,CH22_A150,2,22,A,150,2321314.9,272716796,8.749494949
D100,Iceland,2015,,2015D100,21.6,21.43333333,0.792631142,0.050635235,0.119791412,0.040521429,0.050635235,N,CH23_D100,2,23,D,100,7724875,152559280.2,15.86
D0,Iceland,2015,,2015D0,20.7,21.43333333,3.337533641,0.246455322,0.246455322,0.032272727,0.246455322,N,CH24_D0,2,24,D,0,16322684,66229789,6.066077441
C150,Iceland,2015,,2015C150,17.6,20.25,0.022780604,0.011992031,#DIV/0!,0.022265625,0.011992031,N,CH25_C150,2,25,C,150,282808.4,23583027.9,6.466471354
A100,Iceland,2015,,2015A100,10.8,13.58333333,0.047693888,0.008152554,#DIV/0!,0.025854167,0.008152554,N,CH26_A100,2,26,A,100,1888828.3,231685482.8,7.901996528
E150,Iceland,2015,,2015E150,11.4,18.85,0.037712538,0.001509059,0.320926643,0.125010989,0.001509059,N,CH27_E150,2,27,E,150,25097895.2,16631482108,59.21098901
B100,Iceland,2015,,2015B100,13.7,13.75714286,0.061719362,0.008515168,0.385311365,0.041875,0.008515168,N,CH28_B100,2,28,B,100,4356682.2,511637827.9,15.63333333
D25,Iceland,2015,,2015D25,21.4,21.43333333,1.407048676,0.053764341,0.08935482,0.0646875,0.053764341,N,CH29_D25,2,29,D,25,7312630.2,136012644.7,23.805
D200,Iceland,2015,,2015D200,21.5,21.43333333,0.024187272,0.005199456,#DIV/0!,0.052708333,0.005199456,N,CH30_D200,2,30,D,200,5096507.5,980200137.8,19.25
B150,Iceland,2015,,2015B150,13.8,13.75714286,0.024061373,0.003436764,#DIV/0!,0.014608696,0.018402275,N,CH3b  B150,2,3b,B,150,,,
